Version,EC Level,Alphanumeric Capacity,Byte Capacity
1,L,25,17
1,M,20,14
1,Q,16,11
1,H,10,7
2,L,47,32
2,M,38,26
2,Q,29,20
2,H,20,14
3,L,77,53
3,M,61,42
3,Q,47,32
3,H,35,24
4,L,114,78
4,M,90,62
4,Q,67,46
4,H,50,34
5,L,154,106
5,M,122,84
5,Q,87,60
5,H,64,44
6,L,195,134
6,M,154,106
6,Q,108,74
6,H,84,58
7,L,224,154
7,M,178,122
7,Q,125,86
7,H,93,64
8,L,279,192
8,M,221,152
8,Q,157,108
8,H,122,84
9,L,335,230
9,M,262,180
9,Q,189,130
9,H,143,98
10,L,395,271
10,M,311,213
10,Q,221,151
10,H,174,119
11,L,468,321
11,M,366,251
11,Q,259,177
11,H,200,137
12,L,535,367
12,M,419,287
12,Q,296,203
12,H,227,155
13,L,619,425
13,M,483,331
13,Q,352,241
13,H,259,177
14,L,667,458
14,M,528,362
14,Q,376,258
14,H,283,194
15,L,758,520
15,M,600,412
15,Q,426,292
15,H,321,220
16,L,854,586
16,M,656,450
16,Q,470,322
16,H,365,250
17,L,938,644
17,M,734,504
17,Q,531,364
17,H,408,280
18,L,1046,718
18,M,816,560
18,Q,574,394
18,H,452,310
19,L,1153,792
19,M,909,624
19,Q,644,442
19,H,493,338
20,L,1249,858
20,M,970,666
20,Q,702,482
20,H,557,382
21,L,1352,929
21,M,1035,711
21,Q,742,509
21,H,587,403
22,L,1460,1003
22,M,1134,779
22,Q,823,565
22,H,640,439
23,L,1588,1091
23,M,1248,857
23,Q,890,611
23,H,672,461
24,L,1704,1171
24,M,1326,911
24,Q,963,661
24,H,744,511
25,L,1853,1273
25,M,1451,997
25,Q,1041,715
25,H,779,535
26,L,1990,1367
26,M,1542,1059
26,Q,1094,751
26,H,864,593
27,L,2132,1465
27,M,1637,1125
27,Q,1172,805
27,H,910,625
28,L,2223,1528
28,M,1732,1190
28,Q,1263,868
28,H,958,658
29,L,2369,1628
29,M,1839,1264
29,Q,1322,908
29,H,1016,698
30,L,2520,1732
30,M,1994,1370
30,Q,1429,982
30,H,1080,742
31,L,2677,1840
31,M,2113,1452
31,Q,1499,1030
31,H,1150,790
32,L,2840,1952
32,M,2238,1538
32,Q,1618,1112
32,H,1226,842
33,L,3009,2068
33,M,2369,1628
33,Q,1700,1168
33,H,1307,898
34,L,3183,2188
34,M,2506,1722
34,Q,1787,1228
34,H,1394,958
35,L,3351,2303
35,M,2632,1809
35,Q,1867,1283
35,H,1431,983
36,L,3537,2431
36,M,2780,1911
36,Q,1966,1351
36,H,1530,1051
37,L,3729,2563
37,M,2894,1989
37,Q,2071,1423
37,H,1591,1093
38,L,3927,2699
38,M,3054,2099
38,Q,2181,1499
38,H,1658,1139
39,L,4087,2809
39,M,3220,2213
39,Q,2298,1579
39,H,1774,1219
40,L,4296,2953
40,M,3391,2331
40,Q,2420,1663
40,H,1852,1273
